"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"ALOG","Analogic Corporation","81.95","1012047999.05","n/a","1972","n/a","n/a","http://www.nasdaq.com/symbol/alog",
"ANLY","Analysts International Corporation","3.95","20072347.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anly",
"ANEN","Anaren, Inc.","20.07","276171007.23","n/a","1972","n/a","n/a","http://www.nasdaq.com/symbol/anen",
"ACOM          ","Ancestry.com Inc.","29.25","1257797268","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/acom          ",
"ANCB","Anchor Bancorp","13.51","34450500","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/ancb",
"AMCF","Andatee China Marine Fuel Services Corporation","1.04","9994565.36","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/amcf",
"ANDA","Andina Acquisition Corporation","9.8","102900000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anda",
"ANDAU","Andina Acquisition Corporation","10.0001","16500175.0001","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corporation","0.25","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/andaw",
"ANGI","Angie&#39;s List, Inc.","10.6","612310229.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","12.82","447193778.2","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/ango",
"ANIK","Anika Therapeutics Inc.","15.18","209523316.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anik",
"ANNB","Annapolis Bancorp Inc.","7.95","31603857.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/annb",
"ANSS","ANSYS, Inc.","71.03","6558487358.41","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","4.01","440034206.16","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","1","79111870","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/anth",
"APAGF","Apco Oil and Gas International Inc.","13.91","409527648.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apagf",
"ATNY","API Technologies Corp.","3.13","171413251.21","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atny",
"APOG","Apogee Enterprises, Inc.","19.34","548124726.04","n/a","1971","n/a","n/a","http://www.nasdaq.com/symbol/apog",
"APOL","Apollo Group, Inc.","29.1","3299212500","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/apol",
"AINV","Apollo Investment Corporation","8.05","1633275375.55","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"AAPL","Apple Inc.","638.17","598224387020","n/a","1980","n/a","n/a","http://www.nasdaq.com/symbol/aapl",
"ARCI","Appliance Recycling Centers of America, Inc.","2.8","15556595.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arci",
"AMAT","Applied Materials, Inc.","11.01","13624821612.51","n/a","1972","n/a","n/a","http://www.nasdaq.com/symbol/amat",
"AMCC","Applied Micro Circuits Corporation","4.81","310680641.7","n/a","1997","n/a","n/a","http://www.nasdaq.com/symbol/amcc",
